idx,R,G,B,hex,kind,col,row
1,181,213,217,#B5D5D9,singleton,0,0
2,233,182,128,#E9B680,singleton,1,0
3,152,141,204,#988DCC,singleton,2,0
4,221,157,240,#DD9DF0,singleton,3,0
5,161,161,179,#A1A1B3,singleton,4,0
6,236,221,206,#ECDDCE,singleton,5,0
7,233,221,196,#E9DDC4,singleton,6,0
8,170,179,166,#AAB3A6,singleton,7,0
9,198,238,174,#C6EEAE,singleton,8,0
10,157,254,201,#9DFEC9,singleton,9,0
11,223,192,191,#DFC0BF,singleton,10,0
12,247,147,216,#F793D8,singleton,11,0
13,197,179,128,#C5B380,singleton,12,0
14,151,136,249,#9788F9,singleton,13,0
15,128,160,235,#80A0EB,singleton,14,0
16,250,226,231,#FAE2E7,singleton,15,0
17,178,164,225,#B2A4E1,singleton,16,0
18,172,181,172,#ACB5AC,singleton,17,0
19,161,138,161,#A18AA1,singleton,18,0
20,179,162,199,#B3A2C7,singleton,19,0
21,209,250,142,#D1FA8E,singleton,20,0
22,131,253,220,#83FDDC,singleton,21,0
23,176,168,141,#B0A88D,singleton,22,0
24,218,167,169,#DAA7A9,singleton,23,0
25,205,186,204,#CDBACC,singleton,24,0
26,208,169,146,#D0A992,singleton,25,0
27,186,204,139,#BACC8B,singleton,26,0
28,199,234,218,#C7EADA,singleton,27,0
29,231,179,138,#E7B38A,singleton,28,0
30,145,213,135,#91D587,singleton,29,0
31,183,145,144,#B79190,singleton,30,0
32,183,221,149,#B7DD95,singleton,31,0
33,228,252,163,#E4FCA3,singleton,32,0
34,135,164,220,#87A4DC,singleton,33,0
35,216,215,252,#D8D7FC,singleton,34,0
36,183,221,250,#B7DDFA,singleton,35,0
37,223,209,225,#DFD1E1,singleton,36,0
38,142,248,214,#8EF8D6,singleton,37,0
39,187,137,143,#BB898F,singleton,38,0
40,180,155,201,#B49BC9,singleton,39,0
41,210,158,211,#D29ED3,singleton,40,0
42,133,162,149,#85A295,singleton,41,0
43,152,149,220,#9895DC,singleton,42,0
44,182,234,172,#B6EAAC,singleton,43,0
45,238,171,130,#EEAB82,singleton,44,0
46,210,237,146,#D2ED92,singleton,45,0
47,221,175,212,#DDAFD4,singleton,46,0
48,142,177,131,#8EB183,singleton,47,0
49,166,168,152,#A6A898,singleton,48,0
50,185,251,211,#B9FBD3,singleton,49,0
51,133,176,225,#85B0E1,singleton,50,0
52,217,187,169,#D9BBA9,singleton,51,0
53,228,210,180,#E4D2B4,singleton,52,0
54,230,157,200,#E69DC8,singleton,53,0
55,157,168,229,#9DA8E5,singleton,54,0
56,180,158,204,#B49ECC,singleton,55,0
57,211,232,155,#D3E89B,singleton,56,0
58,252,214,234,#FCD6EA,singleton,57,0
59,243,194,236,#F3C2EC,singleton,58,0
60,207,222,250,#CFDEFA,singleton,59,0
61,252,222,152,#FCDE98,singleton,60,0
62,137,176,186,#89B0BA,singleton,61,0
63,202,149,239,#CA95EF,singleton,62,0
64,216,236,154,#D8EC9A,singleton,63,0
65,221,245,145,#DDF591,singleton,0,1
66,140,240,135,#8CF087,singleton,1,1
67,157,241,136,#9DF188,singleton,2,1
68,203,229,146,#CBE592,singleton,3,1
69,182,135,216,#B687D8,singleton,4,1
70,245,228,248,#F5E4F8,singleton,5,1
71,188,149,243,#BC95F3,singleton,6,1
72,185,233,190,#B9E9BE,singleton,7,1
73,174,147,247,#AE93F7,singleton,8,1
74,170,233,137,#AAE989,singleton,9,1
75,220,250,251,#DCFAFB,singleton,10,1
76,128,158,224,#809EE0,singleton,11,1
77,216,231,210,#D8E7D2,singleton,12,1
78,178,152,246,#B298F6,singleton,13,1
79,240,176,248,#F0B0F8,singleton,14,1
80,133,209,168,#85D1A8,singleton,15,1
81,224,212,175,#E0D4AF,singleton,16,1
82,246,155,215,#F69BD7,singleton,17,1
83,166,163,139,#A6A38B,singleton,18,1
84,211,221,219,#D3DDDB,singleton,19,1
85,143,241,135,#8FF187,singleton,20,1
86,254,238,235,#FEEEEB,singleton,21,1
87,150,181,233,#96B5E9,singleton,22,1
88,248,157,253,#F89DFD,singleton,23,1
89,165,215,227,#A5D7E3,singleton,24,1
90,133,200,184,#85C8B8,singleton,25,1
91,197,168,193,#C5A8C1,singleton,26,1
92,206,201,148,#CEC994,singleton,27,1
93,217,229,222,#D9E5DE,singleton,28,1
94,163,218,250,#A3DAFA,singleton,29,1
95,212,132,137,#D48489,singleton,30,1
96,245,212,191,#F5D4BF,singleton,31,1
97,229,241,193,#E5F1C1,singleton,32,1
98,134,183,205,#86B7CD,singleton,33,1
99,190,232,182,#BEE8B6,singleton,34,1
100,178,208,195,#B2D0C3,singleton,35,1
101,243,159,219,#F39FDB,singleton,36,1
102,210,141,180,#D28DB4,singleton,37,1
103,153,192,167,#99C0A7,singleton,38,1
104,242,165,136,#F2A588,singleton,39,1
105,140,242,218,#8CF2DA,singleton,40,1
106,238,163,151,#EEA397,singleton,41,1
107,243,175,131,#F3AF83,singleton,42,1
108,163,160,214,#A3A0D6,singleton,43,1
109,246,183,185,#F6B7B9,singleton,44,1
110,165,143,224,#A58FE0,singleton,45,1
111,221,166,148,#DDA694,singleton,46,1
112,154,175,185,#9AAFB9,singleton,47,1
113,158,129,246,#9E81F6,singleton,48,1
114,213,219,146,#D5DB92,singleton,49,1
115,151,242,203,#97F2CB,singleton,50,1
116,184,128,250,#B880FA,singleton,51,1
117,192,207,196,#C0CFC4,singleton,52,1
118,158,190,160,#9EBEA0,singleton,53,1
119,191,207,254,#BFCFFE,singleton,54,1
120,132,219,213,#84DBD5,singleton,55,1
121,249,243,176,#F9F3B0,singleton,56,1
122,198,148,254,#C694FE,singleton,57,1
123,243,240,194,#F3F0C2,singleton,58,1
124,160,207,160,#A0CFA0,singleton,59,1
125,160,157,211,#A09DD3,singleton,60,1
126,239,139,173,#EF8BAD,singleton,61,1
127,137,189,182,#89BDB6,singleton,62,1
128,190,228,190,#BEE4BE,singleton,63,1
129,155,190,231,#9BBEE7,singleton,0,2
130,243,218,223,#F3DADF,singleton,1,2
131,186,153,166,#BA99A6,singleton,2,2
132,161,218,231,#A1DAE7,singleton,3,2
133,225,207,221,#E1CFDD,singleton,4,2
134,205,196,142,#CDC48E,singleton,5,2
135,183,158,127,#B79E7F,singleton,6,2
136,163,253,160,#A3FDA0,singleton,7,2
137,203,207,195,#CBCFC3,singleton,8,2
138,208,249,156,#D0F99C,singleton,9,2
139,157,187,142,#9DBB8E,singleton,10,2
140,241,171,213,#F1ABD5,singleton,11,2
141,150,127,149,#967F95,singleton,12,2
142,177,178,218,#B1B2DA,singleton,13,2
143,250,254,194,#FAFEC2,singleton,14,2
144,236,141,187,#EC8DBB,singleton,15,2
145,207,188,248,#CFBCF8,singleton,16,2
146,167,134,197,#A786C5,singleton,17,2
147,190,247,192,#BEF7C0,singleton,18,2
148,198,167,138,#C6A78A,singleton,19,2
149,154,232,159,#9AE89F,singleton,20,2
150,136,130,159,#88829F,singleton,21,2
151,216,239,164,#D8EFA4,singleton,22,2
152,135,182,196,#87B6C4,singleton,23,2
153,248,211,184,#F8D3B8,singleton,24,2
154,201,168,253,#C9A8FD,singleton,25,2
155,221,223,193,#DDDFC1,singleton,26,2
156,136,128,189,#8880BD,singleton,27,2
157,163,245,180,#A3F5B4,singleton,28,2
158,200,178,179,#C8B2B3,singleton,29,2
159,148,207,216,#94CFD8,singleton,30,2
160,138,200,252,#8AC8FC,singleton,31,2
161,149,241,251,#95F1FB,singleton,32,2
162,145,137,206,#9189CE,singleton,33,2
163,150,200,132,#96C884,singleton,34,2
164,180,174,178,#B4AEB2,singleton,35,2
165,140,244,206,#8CF4CE,singleton,36,2
166,194,232,199,#C2E8C7,singleton,37,2
167,200,145,232,#C891E8,singleton,38,2
168,225,228,140,#E1E48C,singleton,39,2
169,234,143,189,#EA8FBD,singleton,40,2
170,240,242,231,#F0F2E7,singleton,41,2
171,235,237,138,#EBED8A,singleton,42,2
172,187,180,183,#BBB4B7,singleton,43,2
173,129,186,202,#81BACA,singleton,44,2
174,163,241,183,#A3F1B7,singleton,45,2
175,183,239,198,#B7EFC6,singleton,46,2
176,129,187,189,#81BBBD,singleton,47,2
177,228,209,230,#E4D1E6,singleton,48,2
178,144,193,182,#90C1B6,singleton,49,2
179,147,178,140,#93B28C,singleton,50,2
180,238,184,131,#EEB883,singleton,51,2
181,223,165,213,#DFA5D5,singleton,52,2
182,157,200,192,#9DC8C0,singleton,53,2
183,167,208,191,#A7D0BF,singleton,54,2
184,150,192,173,#96C0AD,singleton,55,2
185,252,164,159,#FCA49F,singleton,56,2
186,175,169,244,#AFA9F4,singleton,57,2
187,197,232,211,#C5E8D3,singleton,58,2
188,255,139,160,#FF8BA0,singleton,59,2
189,128,218,171,#80DAAB,singleton,60,2
190,212,167,128,#D4A780,singleton,61,2
191,170,146,129,#AA9281,singleton,62,2
192,198,195,204,#C6C3CC,singleton,63,2
193,225,154,166,#E19AA6,singleton,0,3
194,133,217,234,#85D9EA,singleton,1,3
195,253,205,144,#FDCD90,singleton,2,3
196,184,147,156,#B8939C,singleton,3,3
197,150,227,136,#96E388,singleton,4,3
198,150,169,207,#96A9CF,singleton,5,3
199,175,224,153,#AFE099,singleton,6,3
200,180,156,236,#B49CEC,singleton,7,3
201,148,210,168,#94D2A8,singleton,8,3
202,190,235,173,#BEEBAD,singleton,9,3
203,171,180,225,#ABB4E1,singleton,10,3
204,210,205,142,#D2CD8E,singleton,11,3
205,205,190,142,#CDBE8E,singleton,12,3
206,180,128,222,#B480DE,singleton,13,3
207,143,199,198,#8FC7C6,singleton,14,3
208,142,189,195,#8EBDC3,singleton,15,3
209,247,147,232,#F793E8,singleton,16,3
210,177,150,226,#B196E2,singleton,17,3
211,178,172,253,#B2ACFD,singleton,18,3
212,185,240,134,#B9F086,singleton,19,3
213,194,190,225,#C2BEE1,singleton,20,3
214,226,140,222,#E28CDE,singleton,21,3
215,186,194,148,#BAC294,singleton,22,3
216,249,200,233,#F9C8E9,singleton,23,3
217,192,199,222,#C0C7DE,singleton,24,3
218,219,164,212,#DBA4D4,singleton,25,3
219,165,133,148,#A58594,singleton,26,3
220,228,198,215,#E4C6D7,singleton,27,3
221,196,248,157,#C4F89D,singleton,28,3
222,254,159,160,#FE9FA0,singleton,29,3
223,145,148,205,#9194CD,singleton,30,3
224,134,165,194,#86A5C2,singleton,31,3
225,219,172,185,#DBACB9,singleton,32,3
226,180,169,253,#B4A9FD,singleton,33,3
227,174,253,201,#AEFDC9,singleton,34,3
228,254,240,206,#FEF0CE,singleton,35,3
229,131,214,135,#83D687,singleton,36,3
230,167,146,234,#A792EA,singleton,37,3
231,241,221,246,#F1DDF6,singleton,38,3
232,137,157,147,#899D93,singleton,39,3
233,191,187,162,#BFBBA2,singleton,40,3
234,243,231,180,#F3E7B4,singleton,41,3
235,155,185,161,#9BB9A1,singleton,42,3
236,154,127,247,#9A7FF7,singleton,43,3
237,154,189,177,#9ABDB1,singleton,44,3
238,153,181,200,#99B5C8,singleton,45,3
239,141,197,135,#8DC587,singleton,46,3
240,206,249,200,#CEF9C8,singleton,47,3
241,152,232,128,#98E880,singleton,48,3
242,226,149,199,#E295C7,singleton,49,3
243,203,209,142,#CBD18E,singleton,50,3
244,165,167,151,#A5A797,singleton,51,3
245,215,185,148,#D7B994,singleton,52,3
246,149,226,183,#95E2B7,singleton,53,3
247,173,232,214,#ADE8D6,singleton,54,3
248,143,141,213,#8F8DD5,singleton,55,3
249,184,215,167,#B8D7A7,singleton,56,3
250,173,251,215,#ADFBD7,singleton,57,3
251,139,240,193,#8BF0C1,singleton,58,3
252,216,218,254,#D8DAFE,singleton,59,3
253,178,183,163,#B2B7A3,singleton,60,3
254,217,206,173,#D9CEAD,singleton,61,3
255,233,244,148,#E9F494,singleton,62,3
256,153,193,251,#99C1FB,singleton,63,3
257,179,247,226,#B3F7E2,singleton,0,4
258,207,161,144,#CFA190,singleton,1,4
259,242,136,219,#F288DB,singleton,2,4
260,171,169,189,#ABA9BD,singleton,3,4
261,159,157,214,#9F9DD6,singleton,4,4
262,182,153,182,#B699B6,singleton,5,4
263,213,254,222,#D5FEDE,singleton,6,4
264,149,226,169,#95E2A9,singleton,7,4
265,147,210,153,#93D299,singleton,8,4
266,167,165,152,#A7A598,singleton,9,4
267,191,159,148,#BF9F94,singleton,10,4
268,171,249,130,#ABF982,singleton,11,4
269,243,187,207,#F3BBCF,singleton,12,4
270,152,178,232,#98B2E8,singleton,13,4
271,162,135,141,#A2878D,singleton,14,4
272,229,185,176,#E5B9B0,singleton,15,4
273,215,178,218,#D7B2DA,singleton,16,4
274,221,194,195,#DDC2C3,singleton,17,4
275,156,156,149,#9C9C95,singleton,18,4
276,184,187,205,#B8BBCD,singleton,19,4
277,246,201,226,#F6C9E2,singleton,20,4
278,194,235,137,#C2EB89,singleton,21,4
279,168,243,163,#A8F3A3,singleton,22,4
280,210,193,220,#D2C1DC,singleton,23,4
281,231,164,151,#E7A497,singleton,24,4
282,140,242,218,#8CF2DA,singleton,25,4
283,155,173,152,#9BAD98,singleton,26,4
284,231,208,242,#E7D0F2,singleton,27,4
285,189,225,219,#BDE1DB,singleton,28,4
286,208,142,220,#D08EDC,singleton,29,4
287,237,187,255,#EDBBFF,singleton,30,4
288,128,184,155,#80B89B,singleton,31,4
289,237,224,155,#EDE09B,singleton,32,4
290,129,158,227,#819EE3,singleton,33,4
291,141,131,240,#8D83F0,singleton,34,4
292,253,246,157,#FDF69D,singleton,35,4
293,171,143,170,#AB8FAA,singleton,36,4
294,186,156,142,#BA9C8E,singleton,37,4
295,180,142,249,#B48EF9,singleton,38,4
296,240,132,137,#F08489,singleton,39,4
297,173,215,227,#ADD7E3,singleton,40,4
298,198,229,134,#C6E586,singleton,41,4
299,220,229,235,#DCE5EB,singleton,42,4
300,251,158,145,#FB9E91,singleton,43,4
301,190,151,239,#BE97EF,singleton,44,4
302,209,218,204,#D1DACC,singleton,45,4
303,129,191,234,#81BFEA,singleton,46,4
304,189,165,254,#BDA5FE,singleton,47,4
305,177,178,158,#B1B29E,singleton,48,4
306,240,203,170,#F0CBAA,singleton,49,4
307,162,253,219,#A2FDDB,singleton,50,4
308,145,213,228,#91D5E4,singleton,51,4
309,225,198,158,#E1C69E,singleton,52,4
310,233,159,143,#E99F8F,singleton,53,4
311,177,175,240,#B1AFF0,singleton,54,4
312,151,250,132,#97FA84,singleton,55,4
313,158,225,179,#9EE1B3,singleton,56,4
314,172,238,196,#ACEEC4,singleton,57,4
315,158,239,177,#9EEFB1,singleton,58,4
316,228,148,178,#E494B2,singleton,59,4
317,231,235,153,#E7EB99,singleton,60,4
318,192,217,160,#C0D9A0,singleton,61,4
319,182,172,193,#B6ACC1,singleton,62,4
320,138,239,147,#8AEF93,singleton,63,4
321,173,150,159,#AD969F,singleton,0,5
322,218,139,245,#DA8BF5,singleton,1,5
323,141,153,182,#8D99B6,singleton,2,5
324,153,210,233,#99D2E9,singleton,3,5
325,246,245,142,#F6F58E,singleton,4,5
326,150,242,229,#96F2E5,singleton,5,5
327,178,253,177,#B2FDB1,singleton,6,5
328,235,130,179,#EB82B3,singleton,7,5
329,245,240,213,#F5F0D5,singleton,8,5
330,207,224,205,#CFE0CD,singleton,9,5
331,194,147,241,#C293F1,singleton,10,5
332,159,254,215,#9FFED7,singleton,11,5
333,164,195,227,#A4C3E3,singleton,12,5
334,157,171,253,#9DABFD,singleton,13,5
335,250,205,153,#FACD99,singleton,14,5
336,175,202,227,#AFCAE3,singleton,15,5
337,145,159,185,#919FB9,singleton,16,5
338,218,215,241,#DAD7F1,singleton,17,5
339,225,193,147,#E1C193,singleton,18,5
340,235,227,154,#EBE39A,singleton,19,5
341,159,189,183,#9FBDB7,singleton,20,5
342,232,214,190,#E8D6BE,singleton,21,5
343,247,214,246,#F7D6F6,singleton,22,5
344,182,241,174,#B6F1AE,singleton,23,5
345,130,246,166,#82F6A6,singleton,24,5
346,182,239,180,#B6EFB4,singleton,25,5
347,153,198,165,#99C6A5,singleton,26,5
348,241,189,192,#F1BDC0,singleton,27,5
349,147,231,187,#93E7BB,singleton,28,5
